epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
3,0.151562,1.040566,2.00e-04,125.8,0.151579
4,0.151252,1.037445,2.00e-04,124.7,0.151252
5,0.150530,1.029824,2.00e-04,127.1,0.150530
6,0.150573,1.028119,2.00e-04,126.4,0.150530
7,0.150437,1.022467,2.00e-04,125.0,0.150530
8,0.150208,1.022019,2.00e-04,124.6,0.150208
9,0.150016,1.015504,2.00e-04,123.7,0.150016
10,0.150465,1.018889,2.00e-04,123.4,0.150016
11,0.150073,1.013732,2.00e-04,123.1,0.150016
12,0.150120,1.013872,2.00e-04,125.0,0.150016
13,0.150077,1.013899,2.00e-04,125.1,0.150016
14,0.149905,1.009765,2.00e-04,124.9,0.149905
15,0.149867,1.010338,2.00e-04,124.0,0.149905
16,0.149723,1.004767,2.00e-04,123.2,0.149723
1,0.154468,1.072626,0.7303,14.97,2.00e-04,126.6,0.154468
1,0.154810,1.072736,0.7376,14.75,2.00e-04,92.1,0.154810
1,0.151158,1.074943,0.7345,14.09,2.00e-04,48.5,0.151158
1,0.151374,1.067471,0.7412,14.91,2.00e-04,51.7,0.151374
2,0.151076,1.050404,0.7408,16.05,2.00e-04,35.5,0.151076
3,0.150468,1.048446,0.7476,15.32,2.00e-04,35.7,0.150468
4,0.149730,1.045310,0.7425,15.72,2.00e-04,35.3,0.149730
5,0.149111,1.037561,0.7386,15.54,2.00e-04,35.3,0.149111
6,0.149800,1.034163,0.7403,14.90,2.00e-04,35.1,0.149111
7,0.149587,1.028831,0.7395,15.31,2.00e-04,35.1,0.149111
8,0.149603,1.026683,0.7339,14.71,2.00e-04,35.0,0.149111
9,0.149462,1.029156,0.7352,16.09,2.00e-04,35.1,0.149111
10,0.148594,1.024227,0.7266,15.42,2.00e-04,35.3,0.148594
11,0.148986,1.019655,0.7331,14.85,2.00e-04,34.6,0.148594
12,0.148977,1.021159,0.7497,15.95,2.00e-04,35.1,0.148594
13,0.148792,1.017782,0.7395,15.09,2.00e-04,34.6,0.148594
14,0.148374,1.012099,0.7393,15.08,2.00e-04,34.4,0.148374
15,0.148739,1.011336,0.7412,15.25,2.00e-04,34.4,0.148374
16,0.148640,1.011308,0.7263,15.47,2.00e-04,34.6,0.148374
17,0.148502,1.015740,0.7414,15.52,2.00e-04,34.8,0.148374
18,0.148303,1.013743,0.7336,15.52,2.00e-04,35.5,0.148374
19,0.148977,1.016489,0.7415,15.74,2.00e-04,36.0,0.148374
20,0.148738,1.017099,0.7303,14.44,2.00e-04,34.4,0.148374
21,0.148776,1.008090,0.7458,16.04,2.00e-04,34.5,0.148374
22,0.148172,1.005145,0.7446,15.25,2.00e-04,34.7,0.148172
23,0.148175,1.007926,0.7394,15.94,2.00e-04,34.5,0.148172
24,0.148229,1.002797,0.7460,15.36,2.00e-04,35.3,0.148172
25,0.148707,1.007698,0.7418,15.81,2.00e-04,34.8,0.148172
26,0.148588,1.008180,0.7478,16.34,2.00e-04,35.5,0.148172
27,0.148233,1.005427,0.7318,15.44,2.00e-04,34.5,0.148172
28,0.148409,1.002358,0.7503,15.41,2.00e-04,34.7,0.148172
29,0.148202,1.002088,0.7439,15.13,2.00e-04,35.4,0.148172
30,0.148103,0.998417,0.7363,15.04,2.00e-04,34.4,0.148172
31,0.147890,1.001483,0.7465,15.71,2.00e-04,34.9,0.147890
